"batchId ,",45.0,",overall_accuracy, ",76.41111111111111,",step_accuracy, ",82.5,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",46.0,",overall_accuracy, ",76.44565217391305,",step_accuracy, ",78.0,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",47.0,",overall_accuracy, ",76.5,",step_accuracy, ",79.0,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",48.0,",overall_accuracy, ",76.5,",step_accuracy, ",76.5,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",49.0,",overall_accuracy, ",76.62244897959184,",step_accuracy, ",82.5,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",50.0,",overall_accuracy, ",76.67,",step_accuracy, ",79.0,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",51.0,",overall_accuracy, ",76.77450980392156,",step_accuracy, ",82.0,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",52.0,",overall_accuracy, ",76.67307692307692,",step_accuracy, ",71.5,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",53.0,",overall_accuracy, ",76.5377358490566,",step_accuracy, ",69.5,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",54.0,",overall_accuracy, ",76.49074074074073,",step_accuracy, ",74.0,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
