"batchId ,",102.0,",overall_accuracy, ",68.2156862745098,",step_accuracy, ",66.5,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",103.0,",overall_accuracy, ",68.2864077669903,",step_accuracy, ",75.5,",models, ",Counter({'MobileNet': 1}),",",1,",","[['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f392c1950f0>]]"
"batchId ,",104.0,",overall_accuracy, ",68.32211538461539,",step_accuracy, ",72.0,",models, ",Counter({'MobileNet': 1}),",",1,",",None
"batchId ,",105.0,",overall_accuracy, ",68.39047619047619,",step_accuracy, ",75.5,",models, ",Counter({'MobileNet': 1}),",",1,",",None
"batchId ,",106.0,",overall_accuracy, ",68.44811320754717,",step_accuracy, ",74.5,",models, ",Counter({'MobileNet': 1}),",",1,",",None
"batchId ,",107.0,",overall_accuracy, ",68.48130841121495,",step_accuracy, ",72.0,",models, ",Counter({'MobileNet': 1}),",",1,",",None
"batchId ,",108.0,",overall_accuracy, ",68.50462962962963,",step_accuracy, ",71.0,",models, ",Counter({'MobileNet': 1}),",",1,",",None
"batchId ,",109.0,",overall_accuracy, ",68.5091743119266,",step_accuracy, ",69.0,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",['MobileNetV2']
"batchId ,",110.0,",overall_accuracy, ",68.45454545454545,",step_accuracy, ",62.5,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",111.0,",overall_accuracy, ",68.38738738738739,",step_accuracy, ",61.0,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",112.0,",overall_accuracy, ",68.37946428571429,",step_accuracy, ",67.5,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",113.0,",overall_accuracy, ",68.34070796460176,",step_accuracy, ",64.0,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",114.0,",overall_accuracy, ",68.30263157894737,",step_accuracy, ",64.0,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",115.0,",overall_accuracy, ",68.34347826086956,",step_accuracy, ",73.0,",models, ",Counter({'MobileNetV2': 1}),",",1,",","[['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f394c063c88>]]"
"batchId ,",116.0,",overall_accuracy, ",68.3146551724138,",step_accuracy, ",65.0,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",['MobileNet']
"batchId ,",117.0,",overall_accuracy, ",68.31196581196582,",step_accuracy, ",68.0,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",118.0,",overall_accuracy, ",68.27966101694915,",step_accuracy, ",64.5,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",119.0,",overall_accuracy, ",68.29411764705883,",step_accuracy, ",70.0,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",120.0,",overall_accuracy, ",68.30416666666666,",step_accuracy, ",69.5,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",121.0,",overall_accuracy, ",68.33884297520662,",step_accuracy, ",72.5,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",122.0,",overall_accuracy, ",68.3688524590164,",step_accuracy, ",72.0,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",123.0,",overall_accuracy, ",68.38211382113822,",step_accuracy, ",70.0,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",124.0,",overall_accuracy, ",68.34274193548387,",step_accuracy, ",63.5,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
