"batchId ,",72.0,",overall_accuracy, ",75.27777777777777,",step_accuracy, ",75.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",73.0,",overall_accuracy, ",75.13698630136987,",step_accuracy, ",65.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",['ResNet50']
"batchId ,",74.0,",overall_accuracy, ",75.17567567567568,",step_accuracy, ",78.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",75.0,",overall_accuracy, ",75.19333333333333,",step_accuracy, ",76.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",76.0,",overall_accuracy, ",75.15131578947368,",step_accuracy, ",72.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",77.0,",overall_accuracy, ",75.15584415584415,",step_accuracy, ",75.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",78.0,",overall_accuracy, ",75.19871794871796,",step_accuracy, ",78.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",79.0,",overall_accuracy, ",75.18354430379746,",step_accuracy, ",74.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",80.0,",overall_accuracy, ",75.0625,",step_accuracy, ",65.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",81.0,",overall_accuracy, ",75.04938271604938,",step_accuracy, ",74.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",82.0,",overall_accuracy, ",75.05487804878048,",step_accuracy, ",75.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",83.0,",overall_accuracy, ",75.09036144578313,",step_accuracy, ",78.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",84.0,",overall_accuracy, ",75.01190476190476,",step_accuracy, ",68.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",85.0,",overall_accuracy, ",74.98235294117647,",step_accuracy, ",72.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",86.0,",overall_accuracy, ",75.04651162790698,",step_accuracy, ",80.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7fc2b4dcb048>]]"
"batchId ,",87.0,",overall_accuracy, ",75.06896551724138,",step_accuracy, ",77.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",88.0,",overall_accuracy, ",75.0,",step_accuracy, ",69.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",8,",",['ResNet50']
