"batchId ,",69.0,",overall_accuracy, ",74.32173913043478,",step_accuracy, ",75.2,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1})",",",6,",",None
"batchId ,",70.0,",overall_accuracy, ",74.32285714285715,",step_accuracy, ",74.4,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1})",",",6,",",None
"batchId ,",71.0,",overall_accuracy, ",74.36338028169014,",step_accuracy, ",77.2,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1})",",",5,",","[('ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5130701358>)]"
"batchId ,",72.0,",overall_accuracy, ",74.35555555555555,",step_accuracy, ",73.8,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1})",",",5,",",None
"batchId ,",73.0,",overall_accuracy, ",74.35616438356163,",step_accuracy, ",74.4,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1})",",",5,",",None
"batchId ,",74.0,",overall_accuracy, ",74.33243243243243,",step_accuracy, ",72.6,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50V2': 1})",",",6,",",['ResNet50V2']
"batchId ,",75.0,",overall_accuracy, ",74.32266666666666,",step_accuracy, ",73.6,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50V2': 1})",",",6,",",None
"batchId ,",76.0,",overall_accuracy, ",74.36315789473684,",step_accuracy, ",77.4,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'ResNet50V2': 1})",",",5,",","[('InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5074649e48>)]"
"batchId ,",77.0,",overall_accuracy, ",74.2883116883117,",step_accuracy, ",68.60000000000001,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'InceptionV3': 1})",",",6,",",['InceptionV3']
"batchId ,",78.0,",overall_accuracy, ",74.31025641025641,",step_accuracy, ",76.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'InceptionV3': 1})",",",6,",",None
"batchId ,",79.0,",overall_accuracy, ",74.3139240506329,",step_accuracy, ",74.6,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'InceptionV3': 1})",",",6,",",None
