"batchId ,",62.0,",overall_accuracy, ",76.20322580645161,",step_accuracy, ",74.8,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",63.0,",overall_accuracy, ",76.2095238095238,",step_accuracy, ",76.6,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",64.0,",overall_accuracy, ",76.225,",step_accuracy, ",77.2,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",65.0,",overall_accuracy, ",76.19384615384615,",step_accuracy, ",74.2,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",66.0,",overall_accuracy, ",76.1969696969697,",step_accuracy, ",76.4,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",67.0,",overall_accuracy, ",76.18805970149253,",step_accuracy, ",75.6,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",68.0,",overall_accuracy, ",76.26764705882353,",step_accuracy, ",81.6,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1})",",",9,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f3b6a0ba0f0>]]"
"batchId ,",69.0,",overall_accuracy, ",76.28985507246377,",step_accuracy, ",77.8,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1})",",",9,",",None
"batchId ,",70.0,",overall_accuracy, ",76.28285714285714,",step_accuracy, ",75.8,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1})",",",9,",",None
"batchId ,",71.0,",overall_accuracy, ",76.29577464788733,",step_accuracy, ",77.2,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1})",",",9,",",None
"batchId ,",72.0,",overall_accuracy, ",76.26666666666667,",step_accuracy, ",74.2,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",['ResNet50']
"batchId ,",73.0,",overall_accuracy, ",76.27671232876713,",step_accuracy, ",77.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",74.0,",overall_accuracy, ",76.27567567567569,",step_accuracy, ",76.2,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",75.0,",overall_accuracy, ",76.256,",step_accuracy, ",74.8,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
