"batchId ,",61.0,",overall_accuracy, ",74.5704918032787,",step_accuracy, ",76.2,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",6,",",None
"batchId ,",62.0,",overall_accuracy, ",74.5741935483871,",step_accuracy, ",74.8,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",6,",",None
"batchId ,",63.0,",overall_accuracy, ",74.5873015873016,",step_accuracy, ",75.4,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",6,",",None
"batchId ,",64.0,",overall_accuracy, ",74.6125,",step_accuracy, ",76.2,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",6,",",None
"batchId ,",65.0,",overall_accuracy, ",74.60307692307693,",step_accuracy, ",74.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",6,",",None
"batchId ,",66.0,",overall_accuracy, ",74.60303030303031,",step_accuracy, ",74.6,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",6,",",None
"batchId ,",67.0,",overall_accuracy, ",74.62985074626866,",step_accuracy, ",76.4,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",6,",",None
"batchId ,",68.0,",overall_accuracy, ",74.72941176470587,",step_accuracy, ",81.39999999999999,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1})",",",4,",","[[['InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7f1ed425e208>]], [['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f1e8c9095f8>]]]"
"batchId ,",69.0,",overall_accuracy, ",74.71594202898551,",step_accuracy, ",73.8,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1})",",",4,",",None
"batchId ,",70.0,",overall_accuracy, ",74.69714285714286,",step_accuracy, ",73.4,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1})",",",4,",",None
"batchId ,",71.0,",overall_accuracy, ",74.69014084507042,",step_accuracy, ",74.2,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1})",",",4,",",None
"batchId ,",72.0,",overall_accuracy, ",74.67777777777778,",step_accuracy, ",73.8,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1})",",",4,",",None
"batchId ,",73.0,",overall_accuracy, ",74.6986301369863,",step_accuracy, ",76.2,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1})",",",4,",",None
"batchId ,",74.0,",overall_accuracy, ",74.64864864864865,",step_accuracy, ",71.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",5,",",['MobileNetV2']
"batchId ,",75.0,",overall_accuracy, ",74.64266666666667,",step_accuracy, ",74.2,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",5,",",None
"batchId ,",76.0,",overall_accuracy, ",74.66578947368421,",step_accuracy, ",76.4,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",5,",",None
"batchId ,",77.0,",overall_accuracy, ",74.61818181818181,",step_accuracy, ",71.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",6,",",['InceptionV3']
"batchId ,",78.0,",overall_accuracy, ",74.63846153846154,",step_accuracy, ",76.2,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",6,",",None
"batchId ,",79.0,",overall_accuracy, ",74.63544303797468,",step_accuracy, ",74.4,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",6,",",None
"batchId ,",80.0,",overall_accuracy, ",74.66000000000001,",step_accuracy, ",76.6,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",6,",",None
"batchId ,",81.0,",overall_accuracy, ",74.63703703703703,",step_accuracy, ",72.8,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",7,",",['ResNet50V2']
"batchId ,",82.0,",overall_accuracy, ",74.65853658536585,",step_accuracy, ",76.4,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",7,",",None
"batchId ,",83.0,",overall_accuracy, ",74.66506024096385,",step_accuracy, ",75.2,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",7,",",None
"batchId ,",84.0,",overall_accuracy, ",74.6547619047619,",step_accuracy, ",73.8,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",7,",",None
"batchId ,",85.0,",overall_accuracy, ",74.6329411764706,",step_accuracy, ",72.8,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",8,",",['ResNet50']
"batchId ,",86.0,",overall_accuracy, ",74.65348837209302,",step_accuracy, ",76.4,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",87.0,",overall_accuracy, ",74.68045977011494,",step_accuracy, ",77.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",88.0,",overall_accuracy, ",74.70227272727273,",step_accuracy, ",76.6,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",89.0,",overall_accuracy, ",74.68089887640448,",step_accuracy, ",72.8,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",90.0,",overall_accuracy, ",74.66000000000001,",step_accuracy, ",72.8,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",91.0,",overall_accuracy, ",74.66373626373627,",step_accuracy, ",75.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",92.0,",overall_accuracy, ",74.69782608695652,",step_accuracy, ",77.8,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",6,",","[[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f1e69cd8080>]], [['ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f1e6a3f4588>]]]"
"batchId ,",93.0,",overall_accuracy, ",74.70322580645161,",step_accuracy, ",75.2,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",6,",",None
"batchId ,",94.0,",overall_accuracy, ",74.72127659574468,",step_accuracy, ",76.4,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",6,",",None
"batchId ,",95.0,",overall_accuracy, ",74.73052631578948,",step_accuracy, ",75.6,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",6,",",None
"batchId ,",96.0,",overall_accuracy, ",74.69375000000001,",step_accuracy, ",71.2,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",7,",",['ResNet50V2']
"batchId ,",97.0,",overall_accuracy, ",74.68041237113403,",step_accuracy, ",73.4,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",7,",",None
"batchId ,",98.0,",overall_accuracy, ",74.7061224489796,",step_accuracy, ",77.2,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",4,",","[[['Xception', <tensorflow.python.keras.engine.functional.Functional object at 0x7f1e8e0e9cc0>]], [['ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f1e6965f208>]], [['InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7f1e6ab63080>]]]"
"batchId ,",99.0,",overall_accuracy, ",74.69696969696969,",step_accuracy, ",73.8,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",4,",",None
"batchId ,",100.0,",overall_accuracy, ",74.668,",step_accuracy, ",71.8,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'Xception': 1})",",",5,",",['Xception']
