"batchId ,",52.0,",overall_accuracy, ",74.76923076923076,",step_accuracy, ",69.5,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",53.0,",overall_accuracy, ",74.66037735849056,",step_accuracy, ",69.0,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",54.0,",overall_accuracy, ",74.6111111111111,",step_accuracy, ",72.0,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",55.0,",overall_accuracy, ",74.63636363636364,",step_accuracy, ",76.0,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",56.0,",overall_accuracy, ",74.70535714285714,",step_accuracy, ",78.5,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",57.0,",overall_accuracy, ",74.66666666666667,",step_accuracy, ",72.5,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",58.0,",overall_accuracy, ",74.6551724137931,",step_accuracy, ",74.0,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",59.0,",overall_accuracy, ",74.63559322033898,",step_accuracy, ",73.5,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",60.0,",overall_accuracy, ",74.66666666666667,",step_accuracy, ",76.5,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",61.0,",overall_accuracy, ",74.70491803278688,",step_accuracy, ",77.0,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",62.0,",overall_accuracy, ",74.62096774193549,",step_accuracy, ",69.5,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",63.0,",overall_accuracy, ",74.54761904761905,",step_accuracy, ",70.0,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",64.0,",overall_accuracy, ",74.5546875,",step_accuracy, ",75.0,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",65.0,",overall_accuracy, ",74.64615384615385,",step_accuracy, ",80.5,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",66.0,",overall_accuracy, ",74.72727272727273,",step_accuracy, ",80.0,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",67.0,",overall_accuracy, ",74.79850746268657,",step_accuracy, ",79.5,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",68.0,",overall_accuracy, ",74.82352941176471,",step_accuracy, ",76.5,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",69.0,",overall_accuracy, ",74.81159420289855,",step_accuracy, ",74.0,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",70.0,",overall_accuracy, ",74.76428571428572,",step_accuracy, ",71.5,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",71.0,",overall_accuracy, ",74.76760563380282,",step_accuracy, ",75.0,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",72.0,",overall_accuracy, ",74.75,",step_accuracy, ",73.5,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",73.0,",overall_accuracy, ",74.6027397260274,",step_accuracy, ",64.0,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",74.0,",overall_accuracy, ",74.62162162162163,",step_accuracy, ",76.0,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",75.0,",overall_accuracy, ",74.61333333333333,",step_accuracy, ",74.0,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
