"batchId ,",86.0,",overall_accuracy, ",73.38372093023256,",step_accuracy, ",76.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",5,",","[[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f03755929b0>]], [['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f03781cd5f8>]]]"
"batchId ,",87.0,",overall_accuracy, ",73.41379310344827,",step_accuracy, ",76.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",5,",",None
"batchId ,",88.0,",overall_accuracy, ",73.35227272727273,",step_accuracy, ",68.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNetV2': 1})",",",6,",",['MobileNetV2']
"batchId ,",89.0,",overall_accuracy, ",73.3314606741573,",step_accuracy, ",71.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",['ResNet50']
"batchId ,",90.0,",overall_accuracy, ",73.30555555555556,",step_accuracy, ",71.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",91.0,",overall_accuracy, ",73.31868131868133,",step_accuracy, ",74.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",92.0,",overall_accuracy, ",73.33695652173913,",step_accuracy, ",75.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",93.0,",overall_accuracy, ",73.37096774193549,",step_accuracy, ",76.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'InceptionV3': 1, 'MobileNetV2': 1})",",",5,",","[[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f03747e9320>]], [['ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f0375d34f60>]]]"
"batchId ,",94.0,",overall_accuracy, ",73.32978723404256,",step_accuracy, ",69.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50V2': 1})",",",6,",",['ResNet50V2']
"batchId ,",95.0,",overall_accuracy, ",73.32631578947368,",step_accuracy, ",73.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50V2': 1})",",",6,",",None
"batchId ,",96.0,",overall_accuracy, ",73.27083333333333,",step_accuracy, ",68.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",7,",",['ResNet50']
"batchId ,",97.0,",overall_accuracy, ",73.27319587628865,",step_accuracy, ",73.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",98.0,",overall_accuracy, ",73.26020408163265,",step_accuracy, ",72.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",99.0,",overall_accuracy, ",73.27272727272728,",step_accuracy, ",74.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",100.0,",overall_accuracy, ",73.26,",step_accuracy, ",72.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",101.0,",overall_accuracy, ",73.3118811881188,",step_accuracy, ",78.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'InceptionV3': 1, 'MobileNetV2': 1})",",",5,",","[[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f03739d5630>]], [['ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f03741750b8>]]]"
"batchId ,",102.0,",overall_accuracy, ",73.33823529411765,",step_accuracy, ",76.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'InceptionV3': 1, 'MobileNetV2': 1})",",",5,",",None
"batchId ,",103.0,",overall_accuracy, ",73.39320388349515,",step_accuracy, ",79.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNet': 1, 'InceptionV3': 1})",",",3,",","[[['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f0374f161d0>]], [['DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7f037e0a3da0>]]]"
"batchId ,",104.0,",overall_accuracy, ",73.38461538461539,",step_accuracy, ",72.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNet': 1, 'InceptionV3': 1})",",",3,",",None
