"batchId ,",62.0,",overall_accuracy, ",76.12903225806451,",step_accuracy, ",75.0,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",63.0,",overall_accuracy, ",76.13968253968254,",step_accuracy, ",76.8,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",64.0,",overall_accuracy, ",76.159375,",step_accuracy, ",77.4,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",65.0,",overall_accuracy, ",76.12923076923077,",step_accuracy, ",74.2,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",66.0,",overall_accuracy, ",76.13636363636364,",step_accuracy, ",76.6,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",67.0,",overall_accuracy, ",76.14029850746269,",step_accuracy, ",76.4,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",68.0,",overall_accuracy, ",76.2235294117647,",step_accuracy, ",81.8,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",69.0,",overall_accuracy, ",76.24347826086957,",step_accuracy, ",77.60000000000001,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",70.0,",overall_accuracy, ",76.2342857142857,",step_accuracy, ",75.6,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",71.0,",overall_accuracy, ",76.26197183098591,",step_accuracy, ",78.2,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",72.0,",overall_accuracy, ",76.23333333333333,",step_accuracy, ",74.2,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",73.0,",overall_accuracy, ",76.24383561643836,",step_accuracy, ",77.0,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",74.0,",overall_accuracy, ",76.24054054054054,",step_accuracy, ",76.0,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
