"batchId ,",75.0,",overall_accuracy, ",73.71047619047619,",step_accuracy, ",75.71428571428571,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50V2': 1})",",",6,",",None
"batchId ,",76.0,",overall_accuracy, ",73.64285714285714,",step_accuracy, ",68.57142857142857,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",7,",",['ResNet50']
"batchId ,",77.0,",overall_accuracy, ",73.67346938775509,",step_accuracy, ",76.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",78.0,",overall_accuracy, ",73.72161172161172,",step_accuracy, ",77.42857142857143,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",5,",","[[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7fe6de0afda0>]], [['ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7fe6de7d0160>]]]"
"batchId ,",79.0,",overall_accuracy, ",73.7251356238698,",step_accuracy, ",74.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",5,",",None
"batchId ,",80.0,",overall_accuracy, ",73.76071428571429,",step_accuracy, ",76.57142857142857,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",3,",","[[['InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7fe71088aa58>]], [['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7fe6dee7b9e8>]]]"
"batchId ,",81.0,",overall_accuracy, ",73.75661375661376,",step_accuracy, ",73.42857142857143,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",3,",",None
"batchId ,",82.0,",overall_accuracy, ",73.75261324041811,",step_accuracy, ",73.42857142857143,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",3,",",None
"batchId ,",83.0,",overall_accuracy, ",73.73493975903614,",step_accuracy, ",72.28571428571429,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",3,",",None
"batchId ,",84.0,",overall_accuracy, ",73.76870748299321,",step_accuracy, ",76.57142857142857,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1})",",",2,",","[[['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7fe710154d68>]]]"
"batchId ,",85.0,",overall_accuracy, ",73.71428571428571,",step_accuracy, ",69.14285714285714,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",3,",",['MobileNet']
"batchId ,",86.0,",overall_accuracy, ",73.67441860465117,",step_accuracy, ",70.28571428571428,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",4,",",['MobileNetV2']
