"batchId ,",52.0,",overall_accuracy, ",75.71153846153847,",step_accuracy, ",76.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",",None
"batchId ,",53.0,",overall_accuracy, ",75.68301886792452,",step_accuracy, ",74.2,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",",None
"batchId ,",54.0,",overall_accuracy, ",75.62962962962962,",step_accuracy, ",72.8,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1})",",",6,",",['MobileNet']
"batchId ,",55.0,",overall_accuracy, ",75.64,",step_accuracy, ",76.2,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1})",",",6,",",None
"batchId ,",56.0,",overall_accuracy, ",75.66428571428571,",step_accuracy, ",77.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1})",",",6,",",None
"batchId ,",57.0,",overall_accuracy, ",75.63157894736841,",step_accuracy, ",73.8,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",['MobileNetV2']
"batchId ,",58.0,",overall_accuracy, ",75.65517241379311,",step_accuracy, ",77.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",59.0,",overall_accuracy, ",75.69491525423729,",step_accuracy, ",78.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",","[[['Xception', <tensorflow.python.keras.engine.functional.Functional object at 0x7fb924a41080>]], [['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7fb92467e390>]], [['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7fb91fffcd68>]]]"
"batchId ,",60.0,",overall_accuracy, ",75.66333333333334,",step_accuracy, ",73.8,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",",['Xception']
"batchId ,",61.0,",overall_accuracy, ",75.6655737704918,",step_accuracy, ",75.8,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",",None
"batchId ,",62.0,",overall_accuracy, ",75.66451612903225,",step_accuracy, ",75.6,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",",None
"batchId ,",63.0,",overall_accuracy, ",75.6984126984127,",step_accuracy, ",77.8,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",",None
"batchId ,",64.0,",overall_accuracy, ",75.725,",step_accuracy, ",77.4,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",",None
"batchId ,",65.0,",overall_accuracy, ",75.6923076923077,",step_accuracy, ",73.6,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1})",",",6,",",['MobileNet']
"batchId ,",66.0,",overall_accuracy, ",75.7030303030303,",step_accuracy, ",76.4,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1})",",",6,",",None
"batchId ,",67.0,",overall_accuracy, ",75.71940298507462,",step_accuracy, ",76.8,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1})",",",6,",",None
"batchId ,",68.0,",overall_accuracy, ",75.8,",step_accuracy, ",81.2,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'MobileNet': 1})",",",4,",","[[['DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7fb9250a0eb8>]], [['Xception', <tensorflow.python.keras.engine.functional.Functional object at 0x7fb91fa494a8>]]]"
"batchId ,",69.0,",overall_accuracy, ",75.79710144927536,",step_accuracy, ",75.6,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'MobileNet': 1})",",",4,",",None
"batchId ,",70.0,",overall_accuracy, ",75.76285714285714,",step_accuracy, ",73.4,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'DenseNet121': 1})",",",5,",",['DenseNet121']
"batchId ,",71.0,",overall_accuracy, ",75.78309859154929,",step_accuracy, ",77.2,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'DenseNet121': 1})",",",5,",",None
"batchId ,",72.0,",overall_accuracy, ",75.75833333333334,",step_accuracy, ",74.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'DenseNet121': 1, 'Xception': 1})",",",6,",",['Xception']
"batchId ,",73.0,",overall_accuracy, ",75.79178082191781,",step_accuracy, ",78.2,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'Xception': 1})",",",4,",","[[['DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7fb91e79cf98>]], [['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7fb91f681f98>]]]"
"batchId ,",74.0,",overall_accuracy, ",75.76216216216216,",step_accuracy, ",73.6,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1})",",",5,",",['DenseNet121']
