"batchId ,",41.0,",overall_accuracy, ",76.3170731707317,",step_accuracy, ",80.0,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",9,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f91aee05668>]]"
"batchId ,",42.0,",overall_accuracy, ",76.33333333333333,",step_accuracy, ",77.0,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",9,",",None
"batchId ,",43.0,",overall_accuracy, ",76.31395348837209,",step_accuracy, ",75.5,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",9,",",None
"batchId ,",44.0,",overall_accuracy, ",76.35227272727273,",step_accuracy, ",78.0,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",9,",",None
"batchId ,",45.0,",overall_accuracy, ",76.46666666666667,",step_accuracy, ",81.5,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",8,",","[['ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f91dc19f978>]]"
"batchId ,",46.0,",overall_accuracy, ",76.48913043478261,",step_accuracy, ",77.5,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",8,",",None
"batchId ,",47.0,",overall_accuracy, ",76.53191489361703,",step_accuracy, ",78.5,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",8,",",None
"batchId ,",48.0,",overall_accuracy, ",76.52083333333334,",step_accuracy, ",76.0,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",8,",",None
"batchId ,",49.0,",overall_accuracy, ",76.63265306122449,",step_accuracy, ",82.0,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",","[['InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7f91dc89a400>]]"
"batchId ,",50.0,",overall_accuracy, ",76.64999999999999,",step_accuracy, ",77.5,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",51.0,",overall_accuracy, ",76.76470588235294,",step_accuracy, ",82.5,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1})",",",6,",","[['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f91f424a048>]]"
"batchId ,",52.0,",overall_accuracy, ",76.65384615384615,",step_accuracy, ",71.0,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",['MobileNetV2']
"batchId ,",53.0,",overall_accuracy, ",76.50943396226415,",step_accuracy, ",69.0,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",8,",",['InceptionV3']
"batchId ,",54.0,",overall_accuracy, ",76.41666666666667,",step_accuracy, ",71.5,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",9,",",['ResNet50V2']
"batchId ,",55.0,",overall_accuracy, ",76.43636363636364,",step_accuracy, ",77.5,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",9,",",None
"batchId ,",56.0,",overall_accuracy, ",76.5,",step_accuracy, ",80.0,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",8,",","[['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f9224163390>]]"
"batchId ,",57.0,",overall_accuracy, ",76.5,",step_accuracy, ",76.5,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",8,",",None
"batchId ,",58.0,",overall_accuracy, ",76.48275862068965,",step_accuracy, ",75.5,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",8,",",None
"batchId ,",59.0,",overall_accuracy, ",76.41525423728814,",step_accuracy, ",72.5,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1})",",",9,",",['MobileNet']
"batchId ,",60.0,",overall_accuracy, ",76.43333333333334,",step_accuracy, ",77.5,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1})",",",9,",",None
"batchId ,",61.0,",overall_accuracy, ",76.4672131147541,",step_accuracy, ",78.5,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1})",",",9,",",None
"batchId ,",62.0,",overall_accuracy, ",76.37903225806451,",step_accuracy, ",71.0,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",['ResNet50']
"batchId ,",63.0,",overall_accuracy, ",76.35714285714286,",step_accuracy, ",75.0,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",64.0,",overall_accuracy, ",76.375,",step_accuracy, ",77.5,",models, ","Counter({'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
