"batchId ,",57.0,",overall_accuracy, ",74.50292397660819,",step_accuracy, ",78.57142857142857,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",5,",","[['ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f13fb41e518>]]"
"batchId ,",58.0,",overall_accuracy, ",74.5320197044335,",step_accuracy, ",76.19047619047619,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",5,",",None
"batchId ,",59.0,",overall_accuracy, ",74.46327683615819,",step_accuracy, ",70.47619047619048,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50V2': 1})",",",6,",",['ResNet50V2']
"batchId ,",60.0,",overall_accuracy, ",74.39682539682539,",step_accuracy, ",70.47619047619048,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",7,",",['ResNet50']
"batchId ,",61.0,",overall_accuracy, ",74.41061670569867,",step_accuracy, ",75.23809523809524,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",62.0,",overall_accuracy, ",74.51612903225806,",step_accuracy, ",80.95238095238095,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50V2': 1})",",",6,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f13f9f514e0>]]"
"batchId ,",63.0,",overall_accuracy, ",74.59561602418745,",step_accuracy, ",79.52380952380952,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50V2': 1})",",",5,",","[['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f13fbafe3c8>]]"
"batchId ,",64.0,",overall_accuracy, ",74.65773809523809,",step_accuracy, ",78.57142857142857,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'ResNet50V2': 1})",",",4,",","[['InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7f14093be128>]]"
"batchId ,",65.0,",overall_accuracy, ",74.65201465201466,",step_accuracy, ",74.28571428571429,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'ResNet50V2': 1})",",",4,",",None
"batchId ,",66.0,",overall_accuracy, ",74.5959595959596,",step_accuracy, ",70.95238095238095,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'MobileNet': 1})",",",5,",",['MobileNet']
