"batchId ,",79.0,",overall_accuracy, ",75.95569620253164,",step_accuracy, ",74.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",80.0,",overall_accuracy, ",75.83125,",step_accuracy, ",66.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",81.0,",overall_accuracy, ",75.82098765432099,",step_accuracy, ",75.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",82.0,",overall_accuracy, ",75.84146341463415,",step_accuracy, ",77.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",83.0,",overall_accuracy, ",75.8855421686747,",step_accuracy, ",79.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",84.0,",overall_accuracy, ",75.8452380952381,",step_accuracy, ",72.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",85.0,",overall_accuracy, ",75.81764705882354,",step_accuracy, ",73.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",86.0,",overall_accuracy, ",75.8546511627907,",step_accuracy, ",79.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",87.0,",overall_accuracy, ",75.8735632183908,",step_accuracy, ",77.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
"batchId ,",88.0,",overall_accuracy, ",75.78977272727273,",step_accuracy, ",68.5,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionResNetV2': 1, 'DenseNet201': 1})",",",5,",",
