"batchId ,",67.0,",overall_accuracy, ",74.29850746268657,",step_accuracy, ",76.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",4,",",None
"batchId ,",68.0,",overall_accuracy, ",74.31617647058823,",step_accuracy, ",75.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",4,",",None
"batchId ,",69.0,",overall_accuracy, ",74.26086956521739,",step_accuracy, ",70.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1})",",",5,",",['MobileNet']
"batchId ,",70.0,",overall_accuracy, ",74.20714285714286,",step_accuracy, ",70.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",6,",",['ResNet50']
"batchId ,",71.0,",overall_accuracy, ",74.21830985915493,",step_accuracy, ",75.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",6,",",None
"batchId ,",72.0,",overall_accuracy, ",74.20138888888889,",step_accuracy, ",73.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",6,",",None
"batchId ,",73.0,",overall_accuracy, ",74.06164383561644,",step_accuracy, ",64.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",6,",",None
"batchId ,",74.0,",overall_accuracy, ",74.06756756756756,",step_accuracy, ",74.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",6,",",None
"batchId ,",75.0,",overall_accuracy, ",74.06,",step_accuracy, ",73.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",6,",",None
"batchId ,",76.0,",overall_accuracy, ",73.98684210526316,",step_accuracy, ",68.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",6,",",None
"batchId ,",77.0,",overall_accuracy, ",73.98051948051948,",step_accuracy, ",73.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",6,",",None
"batchId ,",78.0,",overall_accuracy, ",73.96794871794872,",step_accuracy, ",73.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",6,",",None
"batchId ,",79.0,",overall_accuracy, ",73.9367088607595,",step_accuracy, ",71.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",6,",",None
"batchId ,",80.0,",overall_accuracy, ",73.83125,",step_accuracy, ",65.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",6,",",None
"batchId ,",81.0,",overall_accuracy, ",73.82716049382717,",step_accuracy, ",73.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",6,",",None
"batchId ,",82.0,",overall_accuracy, ",73.85365853658537,",step_accuracy, ",76.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",6,",",None
