"batchId ,",63.0,",overall_accuracy, ",74.23015873015873,",step_accuracy, ",71.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",7,",",['ResNet50V2']
"batchId ,",64.0,",overall_accuracy, ",74.25,",step_accuracy, ",75.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",7,",",None
"batchId ,",65.0,",overall_accuracy, ",74.34615384615385,",step_accuracy, ",80.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'ResNet50V2': 1})",",",4,",","[[['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5c6ff35588>]], [['InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5c6f3c2860>]], [['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5c70609cf8>]]]"
"batchId ,",66.0,",overall_accuracy, ",74.40151515151516,",step_accuracy, ",78.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",3,",","[[['ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5c6ecd39b0>]]]"
"batchId ,",67.0,",overall_accuracy, ",74.49253731343283,",step_accuracy, ",80.5,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1})",",",2,",","[[['DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5c73639630>]]]"
"batchId ,",68.0,",overall_accuracy, ",74.48529411764706,",step_accuracy, ",74.0,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1})",",",2,",",None
"batchId ,",69.0,",overall_accuracy, ",74.39130434782608,",step_accuracy, ",68.0,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1})",",",3,",",['DenseNet121']
"batchId ,",70.0,",overall_accuracy, ",74.32857142857144,",step_accuracy, ",70.0,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",4,",",['MobileNet']
"batchId ,",71.0,",overall_accuracy, ",74.33802816901408,",step_accuracy, ",75.0,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",4,",",None
"batchId ,",72.0,",overall_accuracy, ",74.3125,",step_accuracy, ",72.5,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",5,",",['MobileNetV2']
