Latency,Policy
431.0817957,Baseline
679.657951,Baseline
680.2939564,Baseline
177.3698807,Baseline
183.1100464,Baseline
1017.542639,Baseline
697.2711473,Baseline
444.0430403,Baseline
765.6708628,Baseline
275.4616261,Baseline
288.0540371,Baseline
1018.827048,Baseline
420.3254938,Baseline
901.2717396,Baseline
908.7643295,Baseline
166.1616802,Baseline
251.2236834,Baseline
1175.540391,Baseline
695.7645088,Baseline
453.3354759,Baseline
760.0304991,Baseline
255.8334827,Baseline
165.0186062,Baseline
1013.890567,Baseline
419.619751,Baseline
448.5335112,Baseline
771.119371,Baseline
252.2322416,Baseline
163.7831688,Baseline
1010.648242,Baseline
693.6764151,Baseline
738.0083471,Baseline
909.6296936,Baseline
251.6811609,Baseline
163.4775639,Baseline
1207.391492,Baseline
420.3598976,Baseline
495.2997446,Baseline
830.3038269,Baseline
425.941062,Baseline
425.3171444,Baseline
1012.093511,Baseline
696.4215904,Baseline
775.7843405,Baseline
448.0199337,Baseline
182.5753927,Baseline
185.126543,Baseline
1182.743493,Baseline
417.5688505,Baseline
485.8997583,Baseline
488.1521225,Baseline
250.2176046,Baseline
162.6825571,Baseline
1014.015165,Baseline
694.2547709,Baseline
772.8256136,Baseline
450.854063,Baseline
253.0883074,Baseline
165.1199579,Baseline
1014.129534,Baseline
418.4246063,Baseline
490.4602766,Baseline
828.4457117,Baseline
270.2074528,Baseline
276.4494181,Baseline
1174.384299,Baseline
694.6893126,Baseline
784.7699314,Baseline
453.3869267,Baseline
298.7836838,Baseline
390.021944,Baseline
1008.759132,Baseline
421.6560841,Baseline
1002.428833,Baseline
1010.26856,Baseline
181.6604376,Baseline
188.0300999,Baseline
1176.148811,Baseline
694.231525,Baseline
467.947793,Baseline
469.1829205,Baseline
253.151226,Baseline
163.0532503,Baseline
1010.589972,Baseline
420.2879906,Baseline
840.9321218,Baseline
843.3772713,Baseline
275.1656294,Baseline
283.4054947,Baseline
1179.357353,Baseline
691.9543653,Baseline
451.1413813,Baseline
774.987784,Baseline
241.657877,Baseline
245.9230185,Baseline
1022.882047,Baseline
422.1879482,Baseline
447.3938465,Baseline
769.1152721,Baseline
250.5529642,Baseline
163.5621786,Baseline
1213.751546,Baseline
717.6065832,Baseline
441.6921139,Baseline
254.4254065,Baseline
162.9320621,Baseline
1021.227565,Baseline
422.3478794,Baseline
450.7471323,Baseline
776.7182022,Baseline
268.2442665,Baseline
281.2247276,Baseline
1010.785547,Baseline
718.9157873,Baseline
479.6522141,Baseline
815.3983027,Baseline
164.420414,Baseline
247.0177412,Baseline
1268.109551,Baseline
431.9654465,Baseline
697.4757105,Baseline
918.3022409,Baseline
252.0264387,Baseline
161.9049072,Baseline
1051.293078,Baseline
739.6773964,Baseline
450.7688284,Baseline
797.1797853,Baseline
252.3723364,Baseline
162.3592854,Baseline
1046.615711,Baseline
434.5280647,Baseline
771.385923,Baseline
449.9840498,Baseline
252.3314238,Baseline
162.8251314,Baseline
1264.735809,Baseline
749.4728714,Baseline
747.5391298,Baseline
947.3030954,Baseline
250.5628824,Baseline
162.6633406,Baseline
1008.348456,Baseline
413.4115696,Baseline
452.402854,Baseline
775.9452015,Baseline
273.3893394,Baseline
279.9124241,Baseline
1231.061617,Baseline
733.3678633,Baseline
501.7211676,Baseline
510.454154,Baseline
174.6470213,Baseline
263.7999773,Baseline
993.463698,Baseline
398.2760668,Baseline
452.269578,Baseline
778.6792189,Baseline
297.7528095,Baseline
299.4857073,Baseline
1186.554566,Baseline
702.667585,Baseline
750.4578739,Baseline
955.3442865,Baseline
258.6852789,Baseline
267.6990747,Baseline
981.1248213,Baseline
402.8117895,Baseline
776.968947,Baseline
451.2882948,Baseline
182.3633909,Baseline
186.6936207,Baseline
976.8011003,Baseline
701.3276964,Baseline
696.7823654,Baseline
924.4877964,Baseline
174.0097761,Baseline
263.61835,Baseline
1183.622804,Baseline
390.1232958,Baseline
777.5730282,Baseline
450.7595301,Baseline
180.165267,Baseline
278.5285234,Baseline
955.8838993,Baseline
665.827623,Baseline
450.2183676,Baseline
778.0695587,Baseline
